hbidkhehhfk	KELTAKUKKIA
mhhic	sanoi
iccmh	Liisa
fmaiciffcmlmac	ystävällisesti
dibailc	Tohtori
hfjeeimc	nyökkäsi
gfjhaicimac	myöntävästi
eih	Hän
lc	ei
ifl	ole
cclfi	vielä
jhfhhhba	palannut
eibfbmah	koulusta
mchi	sinä
fbihhiffcmlmacech	luonnollisestikin
cmaba	istut
aiiffi	täällä
dh	ja
ikiaha	odotat
bcbehh	hiukan
eih	Hän
imicaac	osoitti
elbicaahchffh	kehoittavalla
fcceellffi	liikkeellä
cclllcmai	viereistä
bbihlaah	huonetta
dibailc	Tohtori
lgjc	empi
blaecmlh	hetkisen
gbaah	mutta
ebh	kun
mhghffh	samalla
llim	eräs
bbmc	uusi
imahdh	ostaja
hmabc	astui
mcmiih	sisään
mlblhmc	seurasi
bih	hän
jcalggcaai	pitemmittä
gbaecaah	mutkitta
elbicabmah	kehoitusta
dibailc	Tohtori
ahlehmalfc	tarkasteli
bbihlaah	huonetta
ikialfflmmhhh	odotellessaan
cl	Se
ifc	oli
jclhc	pieni
gbaah	mutta
hcch	niin
ahchaaighh	tavattoman
gclfffaaici	miellyttävä
dh	ja
eikcehm	kodikas
ebch	kuin
eiac	koti
cic	voi
iffh	olla
hchihmahhh	ainoastaan
bclhih	hienon
hcmach	aistin
dh	ja
dildlmaicih	järjestävän
eiklh	käden
bbifcaalflghhh	huolittelemana
iiblggch	Lähemmin
ahlehmahlmmhhh	tarkastaessaan
bbighmc	huomasi
bih	hän
ebcalhech	kuitenkin
laai	että
ehfbmai	kalusto
ifc	oli
jllch	perin
femchellahchlh	yksinkertainen
mibchh	sohvan
dh	ja
jclhclh	pienien
dheehlhch	jakkarain
jiifffmcllbihh	päällysverhona
ifc	oli
hchihmahhh	ainoastaan
ebehffcmah	kukallista
ellaihech	kretonkia
ceebhhch	ikkunain
dh	ja
iclh	oven
cllbia	verhot
ifccha	olivat
mhghh	samaa
blfjjih	helppoa
hchlaah	ainetta
gbaah	mutta
ehceechffh	kaikkialla
ebcalhech	kuitenkin
gclfffaaici	miellyttävä
jlbgichlh	pehmoinen
cilcmicf	värisävy
hhceec	Kaikki
ifc	oli
mijbmichabcmhh	sopusointuisaa
mlchcffi	seinillä
ehbhcca	kauniit
chfiebcha	valokuvat
gbmacmmh	mustissa
jbcaalcmmh	puitteissa
fhaachffh	lattialla
figjcgia	lämpimät
ghaia	matot
dh	ja
jclhlffi	pienellä
igjlfbjjfkiffi	ompelupöydällä
ceebhhh	ikkunan
iillmmi	ääressä
ebeicmahch	kukoistava
chfelh	valkea
bfhmchaac	hyasintti
dieh	joka
aifaac	täytti
bbihllh	huoneen
mbficmlffh	suloisella
flgbffhhh	lemullaan
dibailc	Tohtori
cmabc	istui
hblehmmh	nurkassa
iflchh	olevan
ecldicabmjjfkih	kirjoituspöydän
iilllh	ääreen
dh	ja
ehamlfc	katseli
bhdhgclfcmlmac	hajamielisesti
mlh	sen
gihch	monia
jceeb	pikku
eilcmalcah	koristeita
leeci	Äkkiä
ecchhcaafc	kiinnittyi
bihlh	hänen
ehamllhmh	katseensa
mbblllh	suureen
ecldicabmghaih	kirjoitusmaton
icelhffh	oikealla
jbiflffh	puolella
dhfchllmmh	jalineessa
iflchhh	olevaan
chfiebchhh	valokuvaan
cl	Se
ifc	oli
jclhlh	pienen
fhjmlh	lapsen
chfiebch	valokuva
jclhc	pieni
cbhhh	ihana
afaajhlh	tyttönen
dieh	joka
jlbgliffl	pehmeälle
fljiabifcffl	lepotuolille
jifccmabhllhh	polvistuneena
mclimac	sirosti
hidhmc	nojasi
cchaaigch	viattomia
ehmcidhhh	kasvojaan
abifch	tuolin
jlbgicmah	pehmoista
cllbicfbh	verhoilua
chmahhh	vastaan
dibailc	Tohtori
jckiaac	pidätti
blhacafmaiih	hengitystään
femc	yksi
hchih	ainoa
hdhabm	ajatus
aifaac	täytti
aihi	tänä
blaelhi	hetkenä
bihlh	hänen
gclflhmi	mielensä
biggimafemlffi	hämmästyksellä
aicciffh	toivolla
dh	ja
ljiaclaicmbbklffh	epätietoisuudella
eih	Hän
ifc	oli
gbcklh	muiden
ailelich	tärkeäin
hmchch	asiain
aibklh	tähden
ghaebmahhba	matkustanut
jiiehbjbhecch	pääkaupunkiin
ifc	oli
mcaal	sitte
abhalhba	tuntenut
chmalh	vasten
ahbaihhh	tahtoaan
dihebhfhcmah	jonkunlaista
bhfbh	halua
eifki	käydä
iccmhh	Liisan
fbihh	luona
mhhkhemllh	saadakseen
ahhmlh	taasen
hibki	nähdä
afaaillhmi	tyttärensä
iflghaah	olematta
ifflhehhh	ollenkaan
mlfccffi	selvillä
gcai	mitä
bih	hän
ikiaac	odotti
aimai	tästä
eibahbemlmah	kohtauksesta
ahc	tai
ebcheh	kuinka
bih	hän
lklm	edes
fjfaicmc	löytäisi
abih	tuon
jclhiehcmlh	pienokaisen
ficei	Voiko
cicei	voiko
aiklffhech	todellakin
abi	tuo
mbfichlh	suloinen
iflhai	olento
iffh	olla
mhbfh	Paula
bihlh	hänen
fhjmlhmh	lapsensa
eih	Hän
iaac	otti
chfiebchh	valokuvan
eiallhmi	käteensä
ehamlfc	katseli
mcai	sitä
jbiflfah	puolelta
dh	ja
aicmlfah	toiselta
fhmec	laski
mlh	sen
jjfkiffl	pöydälle
dh	ja
iaac	otti
ahhmlh	taasen
bbklffllh	uudelleen
eiallhmi	käteensä
hbi	nuo
clcaceehghcmla	veitikkamaiset
mccgha	siimat
abi	tuo
jclhc	pieni
bfgfcflci	hymyilevä
mbb	suu
mhc	sai
bihla	hänet
hcchh	aivan
bbghbemcch	humauksiin
hbh	Kun
bih	hän
mcchi	siinä
cmabc	istui
fhjmlh	lapsen
ebchh	kuvan
ehamlflgcmllh	katselemiseen
chcjbhllhh	vaipuneena
ebbfbc	kuului
gffgifimai	myymälästä
cficmch	iloisia
iihci	ääniä
bihlh	hänen
eilccchmh	korviinsa
cclffi	Siellä
ifc	oli
jclhc	pieni
dibeei	joukko
hbilch	nuoria
hhcmch	naisia
ehceec	kaikki
lficmch	eloisia
dh	ja
jbblfchcah	puheliaita
dh	ja
hicklh	noiden
llc	eri
iihclh	äänien
dibeimah	joukosta
llicaac	eroitti
bih	hän
mlfcimac	selvästi
iccmhh	Liisan
blfhehh	helakan
iihlh	äänen
cl	Se
ebbfbb	kuuluu
fcchh	liian
ehbhccfah	kauniilta
iffhemllh	ollakseen
aiaah	totta
ebbfc	kuuli
bih	hän
iccmhh	Liisan
mhhichh	sanovan
fhceehjh	Vaikkapa
gbaah	mutta
mchbh	sinun
aifaff	täytyy
aiec	toki
bmeih	uskoa
gchbh	minua
ebbfbc	kuului
aichlh	toinen
iihc	ääni
mhhichh	sanovan
dicgcaahdh	Toimittaja
elbbc	kehui
ecldicabmahmc	kirjoitustasi
elllhmmhhh	kerrassaan
ghchciemc	mainioksi
dh	ja
jffmc	pyysi
gchbh	minun
mhhighhh	sanomaan
mchbffl	sinulle
bihlh	hänen
ebhhcicaahccggha	kunnioittavimmat
allclcmlhmi	terveisensä
hlcieehhffl	arvokkaalle
ecldhcfcdhaahllffl	kirjailijattarelle
ebalh	kuten
bihlh	hänen
mhhhhmh	sanansa
ebbfbccha	kuuluivat
hhceec	Kaikki
lhhbmahcha	ennustavat
mchbffl	sinulle
ficmahchh	loistavaa
ecldhcfcdhblhh	kirjailijauraa
bfiejjh	Eläköön
libch	rouva
bfcmhilab	Elisabeth
jikh	Modn
bfiejjh	Eläköön
lfiejjh	eläköön
ecfdhh	Hiljaa
bcfdhh	hiljaa
ebbfbc	kuului
iccmhh	Liisan
iihc	ääni
ki	No
hi	no
mchbh	sinun
hcgcglleecmc	nimimerkkisi
lc	ei
ifl	ole
jfmfhfa	pysynyt
hccheiih	niinkään
mhfhmmh	salassa
ebch	kuin
fbbfla	luulet
lcflh	eilen
eihmllacmmh	konsertissa
ebbfch	kuulin
bmlhch	useain
ebcmehhchh	kuiskaavan
dbiffh	Tuolla
abfll	tulee
bih	hän
cchi	Sinä
ihhlffchlh	onnellinen
ebiflchchlh	kuolevainen
mchbffh	sinulla
ih	on
fflcmj	yleisö
chffhmmhmc	vallassasi
kcch	Niin
dh	ja
hhcmfbkcmafemlh	naisyhdistyksen
jbbllhdibahdh	puheenjohtaja
efmfc	kysyi
diei	joko
mchi	sinä
mhhhla	saanet
abih	tuon
jffklafh	pyydetyn
lbkiabemlh	ehdotuksen
chfgccemc	valmiiksi
lhmc	ensi
eieibemllh	kokoukseen
mhhic	sanoi
llim	eräs
aichlh	toinen
hhchlh	nainen
jlckih	Meidän
jceeb	pikku
eigcalh	komitea
eieiihabb	kokoontuu
bbiglhhh	huomenna
efci	Hyvä
mclffi	siellä
abfll	tulee
albaiciemc	tehtäväksi
aileli	tärkeä
jiiajm	päätös
aileligjc	tärkeämpi
ebch	kuin
elhaclm	kenties
eimehhh	koskaan
lhhlh	ennen
ahc	tai
difellheiih	jälkeenkään
cccm	Siis
ehceec	kaikki
mhhjbccffl	saapuville
gbcmahehh	muistakaa
ml	se
llaac	Betti
aiac	täti
abfll	tulee
gfjmech	myöskin
mchhl	sinne
gcalh	miten
ghchci	mainio
bihlh	hänen
cccgglchlh	viimmeinen
ecldicabemlhmh	kirjoituksensa
ifcehhh	olikaan
ebehhh	kukaan
hhcmcmah	naisista
lc	ei
eifai	käytä
efhii	kynää
mlggicmlffh	semmoisella
ficmahcbbklffh	loistavuudella
ebch	kuin
bih	hän
chhi	Sano
lhhlggch	ennemmin
mlggicmlffh	semmoisella
hlcieebbklffh	arvokkuudella
gh	Ja
iccmhffh	Liisalla
ih	on
aiklffhech	todellakin
icelch	oikein
glckih	meidän
lc	ei
jcki	pidä
hhahh	antaa
cbgcmcffl	ihmisille
hcblaah	aihetta
gicaachemllh	moittiakseen
glcai	meitä
fcchffcmlmah	liiallisesta
chaicflgcmlmah	intoilemisesta
dbi	Tuo
blch	Eeva
lmcg	esim
ih	on
elllhmmhhh	kerrassaan
bbcghjii	huimapää
cchbh	Sinun
ifcmc	olisi
jcaihfa	pitänyt
ebbffh	kuulla
bihai	häntä
cccggl	viimme
eieibemlmmh	kokouksessa
jbbhh	Muuan
chbacglmahlc	vahtimestari
eblecmac	kurkisti
iclmah	ovesta
mcmiih	sisään
blch	Eeva
bbighmc	huomasi
bihlh	hänen
blac	heti
dh	ja
fbiklh	luoden
abibih	tuohon
gclmjhlehhh	miesparkaan
elllhmmhhh	kerrassaan
mblghhchh	surmaavan
mcfgifemlh	silmäyksen
mhhic	sanoi
bih	hän
cl	Se
ifc	oli
chch	vain
gbbhh	muuan
gclm	mies
dh	ja
mlh	sen
hcch	niin
gblbhhchffh	murhaavalla
iihlffi	äänellä
laai	että
eiei	koko
eieibm	kokous
jblmehbac	purskahti
hhblbbh	nauruun
ki	No
ml	se
lc	ei
mbchehhh	suinkaan
iffba	ollut
hcch	niin
eicch	kovin
jhbhmac	pahasti
bhehm	Rakas
blch	Eeva
fbbflhjh	luulenpa
laai	että
ifla	olet
gclmalhccbhhdh	miestenvihaaja
gcalh	miten
mchi	sinä
cccbkfa	viihdyt
eifflaicklh	kollegoiden
ehhmmh	kanssa
mclffi	siellä
eibfbmmh	koulussa
laalej	ettekö
al	te
cifcch	väliin
iaalfl	ottele
elmelhihhl	keskenänne
hh	Ka
ialffhhhjh	otellaanpa
dh	ja
hcch	niin
laai	että
blllha	herrat
jbhhmabcha	punastuvat
eilchemchhh	korvaksiaan
gfjalh	myöten
dh	ja
glckih	meidän
lhhmehheclflh	ranskankielen
ijlaahdh	opettaja
abi	tuo
jceeb	pikku
flmeclibch	leskirouva
bbbahh	huutaa
hb	ah
dh	ja
cic	voi
gchbh	minun
ghbkiaaigbbklfflhc	mahdottomuudelleni
efc	Hyi
gcalh	miten
cflaaicci	ilettäviä
hbi	nuo
hhcghbhfbcmla	naimahaluiset
gclfcmalflcia	mielistelevät
bbjheia	hupakot
icha	ovat
jbaah	Mutta
lhehm	rakas
blch	Eeva
mchibih	sinähän
eifaia	käytät
glfelch	melkein
fcchh	liian
ehlelcah	karkeita
mhhidh	sanoja
hifaih	Käytän
ebh	kun
eifaihech	käytänkin
eimeh	koska
elllhh	kerran
bcbehh	hiukan
fccicaalflh	liioittelen
jbaah	Mutta
aclkiaej	tiedätkö
mchi	sinä
cbhmabaahch	ihastuttava
iccmh	Liisa
laai	että
ehcecffh	kaikilla
jbifblcffh	puolueilla
jcaii	pitää
iffh	olla
dieb	joku
abiggichlh	tuommoinen
lhmc	ensi
fbiehh	luokan
eclebdh	kirkuja
dieh	joka
ebfell	kulkee
gbcklh	muiden
lklffi	edellä
dh	ja
cchabaalfll	vinguttelee
lbimehh	ruoskaa
eiihaiiemllh	kääntääkseen
cbgcmalh	ihmisten
bbigciah	huomiota
caml	itse
lhamhmdibeih	ratsasjoukon
ebfebbh	kulkuun
gh	Ja
mchi	sinä
hfa	nyt
cchabaalfla	vinguttelet
lbimehhmc	ruoskaasi
hckhhmlcjicmcch	aidanseipäisiin
gclmmbcbh	miessuvun
mbballh	suhteen
ebbfbc	kuului
bmlcah	useita
iihci	ääniä
hhceec	Kaikki
hhbliccha	nauroivat
lcelh	Oikea
hmch	asia
lc	ei
ehcjhh	kaipaa
gcaiih	mitään
eclebdch	kirkujia
mhhic	sanoi
iccmh	Liisa
bcji	Eipä
efffi	kyllä
gbaah	mutta
abiggicmla	tuommoiset
bbcghjiia	huimapäät
bhheeccha	hankkivat
glcffl	meille
ghfacffcmcffl	maltillisille
hhcmcffl	naisille
mffajemci	syytöksiä
mlei	sekä
gclmalh	miesten
laai	että
jbaah	Mutta
hhcmlh	naisen
aifaff	täytyy
mhhkh	saada
fhbmbh	lausua
dbfec	julki
llbkca	rehdit
hdhabemlhmh	ajatuksensa
blch	Eeva
blch	Eeva
hhchlh	nainen
chcdlaeiih	vaijetkoon
mlblhebhhhmmh	seurakunnassa
bbbklaacch	huudettiin
dibeimmh	joukossa
ccaiji	Sitäpä
gchi	minä
bhfbhcmch	haluaisin
hibki	nähdä
ebeh	kuka
gchbfah	minulta
mbbh	suun
abeecmc	tukkisi
mccblh	siihen
lc	ei
efelhl	kykene
hchhehhh	ainakaan
gchbh	minun
hlcicmha	arvoisat
hhalmcmhllhc	aatesisareni
diaeh	jotka
lccia	eivät
camleiih	itsekään
ifl	ole
ijjchlla	oppineet
chcelhlgcmlh	vaikenemisen
ahcaih	taitoa
fhhh	Vaan
dijh	jopa
mclaii	sietää
fibali	lähteä
bfcimac	hyvästi
ehbhcm	kaunis
iccmh	Liisa
bfcimac	hyvästi
ehceec	kaikki
dicmlaech	Toisetkin
ebbfbccha	kuuluivat
mhhichh	sanovan
bfcimachmi	hyvästinsä
dh	ja
gffgifih	myymälän
icc	ovi
mbfelbabc	sulkeutui
diffllh	jälleen
jclhlh	pienen
iccelffih	ovikellon
cficmlmac	iloisesti
ecfhbahlmmh	kilahtaessa
dibailc	Tohtori
ifc	oli
jhhhba	pannut
chfiebchh	valokuvan
ahhmlh	taasen
jjfkiffl	pöydälle
dh	ja
glfelch	melkein
bbbghbabhllhh	huumautuneena
ebbhhlffba	kuunnellut
abiah	tuota
ccfehmah	vilkasta
mhhhabfchh	sanatulvaa
eihlh	Hänen
gbchhchlh	muinainen
chcgihmh	vaimonsa
ifc	oli
mccm	siis
dibabhba	joutunut
abibih	tuohon
jcclcch	piiriin
abibih	tuohon
fbi	yhä
acblhlciih	tihenevään
bbklhhdhh	uudenajan
hhcmalh	naisten
chfjjhhmllh	valppaaseen
lcccch	riviin
hhcmalh	naisten
diaeh	jotka
flceebbaahcha	leikkuuttavat
abeehhmh	tukkansa
ffbflemc	lyhyeksi
eifaaicia	käyttävät
mcfgifhmldh	silmälaseja
dh	ja
jbbbcha	puhuvat
hhcmlh	naisen
icelbemcmah	oikeuksista
dihhlej	Tännekö
mccm	siis
iccmh	Liisa
jflec	pyrki
aiffhcmah	tällaista
chjhbaahei	vapauttako
bih	hän
ahcicaalfc	tavoitteli
dibailc	Tohtori
gbcmac	muisti
ieeci	äkkiä
gcai	mitä
jhmailchlibch	pastorinrouva
ifc	oli
mhhihba	sanonut
llaac	Betti
aikcmai	tädistä
hcch	niin
ifcmcbhh	olisihan
bihlh	hänen
jcaihfa	pitänyt
hlchah	arvata
gcei	mikä
iccmhmah	Liisasta
aiggjcmlh	tämmöisen
chcebabemlh	vaikutuksen
hfhcmlhh	alaisena
abfcmc	tulisi
gh	Ja
mlggicmlmmh	semmoisessa
jcclcmmi	piirissä
mlggicmlh	semmoisen
ickch	äidin
ehmchalaahchhh	kasvatettavana
ifc	oli
bihlh	hänen
afaaillhmi	tyttärensä
kfa	Nyt
bbighmc	huomasi
bih	hän
ehceec	kaikki
hfa	nyt
fggilmc	ymmärsi
bih	hän
laalc	ettei
bihlffi	hänellä
lhii	enää
iffba	ollut
gcaiih	mitään
fhmah	lasta
mcffi	sillä
lc	ei
mbchehhh	suinkaan
iccmh	Liisa
mlggicmcmmh	semmoisissa
ificmmh	oloissa
ahccbaahhba	taivuttanut
mhbfhh	Paulan
mfkihai	sydäntä
cmihmi	isänsä
fbi	luo
gclblh	miehen
fbi	luo
dieh	joka
bihlmai	hänestä
dh	ja
blhalhblcgifhcmcmahhh	hengenheimolaisistaan
ifc	oli
aflhhhc	tyranni
jhbchah	pahinta
fhdch	lajia
jbaah	Mutta
gchei	minkä
bih	hän
mcffl	sille
cic	voi
chjhhlbaicmlmac	vapaaehtoisesti
ifc	oli
bih	hän
diaaihfa	jättänyt
afaaillh	tyttären
ickcffl	äidille
hfa	nyt
mhc	sai
bih	hän
chcdlalh	vaijeten
bggcmahh	ummistaa
mcfgihmi	silmänsä
dh	ja
hhahh	antaa
ehcelh	kaiken
glhhi	mennä
glhihhh	menoaan
ablgciih	turmioon
chghmmh	Samassa
hmabc	astui
iccmh	Liisa
cllbimlchih	verhoseinän
ahehh	takaa
bihlh	hänen
fbiemllh	luokseen
eihlh	Hänen
jimechhh	poskiaan
ehbhcmac	kaunisti
mclci	sievä
lbmiabm	rusotus
dh	ja
mbblcmmh	suurissa
gbmacmmh	mustissa
mcfgcmmi	silmissä
mialcfc	säteili
lfihblbebchlh	elonhehkuinen
ecghffbm	kimallus
bhmc	Ensi
ellahh	kertaa
biggimafc	hämmästyi
aibailc	tohtori
abiah	tuota
jimeclh	poskien
lbmiabmah	rusotusta
eiei	koko
iflgbemlmmh	olemuksessa
cfghbabchh	ilmautuvaa
eifajemlh	käytöksen
hlcieebbaah	arvokkuutta
dh	ja
ehmcidlh	kasvojen
llcjhmah	reipasta
hbilalbaah	nuorteutta
eih	Hän
lc	ei
iffba	ollut
gcfaiih	miltään
jbiflfah	puolelta
mlggichlh	semmoinen
gcemc	miksi
aibailc	tohtori
ifc	oli
gclflmmiih	mielessään
ebccalffba	kuvitellut
hfefhdhh	nykyajan
lghhmcjlllhabh	emansipeeratun
hhcmlh	naisen
bih	hän
ifc	oli
chch	vain
ehbhcm	kaunis
lficmh	eloisa
hhchlh	nainen
diheh	jonka
abggh	tumma
abeeh	tukka
ifc	oli
eiiaab	koottu
femchellahcmlemc	yksinkertaiseksi
jhfgceiemc	palmikoksi
hcmehhh	niskaan
dh	ja
diheh	jonka
mcfgich	silmäin
mialcffi	säteilyä
lc	ei
gcaeiih	mitkään
fhmca	lasit
chldimahhlla	varjostaneet
cchi	Sinä
ifla	olet
chlghhhech	varmaankin
ehamlffba	katsellut
mhbfhh	Paulan
ebchh	kuvaa
mhhic	sanoi
iccmh	Liisa
fmaiciffcmlmac	ystävällisesti
fiblalh	läheten
cl	Se
ih	on
ialaab	otettu
di	jo
cbimch	vuosia
ahehjllch	takaperin
dh	ja
mcaalggch	sittemmin
ih	on
bih	hän
ehmchhba	kasvanut
glfeicmlmac	melkoisesti
hbalh	Kuten
lbei	ehkä
gbcmahhla	muistanet
cclaac	vietti
bih	hän
imelaaich	äskettäin
ehbklemhhhlh	kahdeksannen
mfhafgijiccihmi	syntymäpäivänsä
dibailc	Tohtori
hfjeifaac	nyökäytti
gfjhailh	myöntäen
lccelffi	Ovikello
mic	soi
ahhmlh	taasen
dh	ja
jclhclh	pienien
dhfehch	jalkain
mcjmbabmah	sipsutusta
ebbfbc	kuului
gffgifimai	myymälästä
iccmh	Liisa
bfgfcfc	hymyili
dh	ja
mhghmmh	samassa
dbiemc	juoksi
mhbfh	Paula
bbihllmllh	huoneeseen
diiffi	Täällä
ih	on
dieb	joku
dieh	joka
ih	on
abffba	tullut
chmlac	vaseti
mchbh	sinua
allclbaigiih	tervehtämään
jceeb	pikku
afaajmlhc	tyttöseni
mhhic	sanoi
iccmh	Liisa
bhlchhh	harvaan
dh	ja
jhchieehhmac	painokkaasti
jlhl	Mene
allclbaigiih	tervehtämään
bihai	häntä
mhbfh	Paula
ml	se
ih	on
cmimc	isäsi
mclhla	Pienet
chfelhhh	valkeaan
bbhabbh	huntuun
cllbiaba	verhotut
ehmcia	kasvot
micibaccia	sävähtivät
blfiaahchh	helottavan
jbhhcmcemc	punaisiksi
dh	ja
dihebhfhchlh	jonkunlainen
jbcmababm	puistutus
hifaac	näytti
cilcmfaaicih	värisyttävän
abiah	tuota
jclhai	pientä
iflhaih	olentoa
ccaal	Sitte
hmabc	astui
bih	hän
lgjclh	empien
hmelfllh	askeleen
lallhjich	eteenpäin
hcch	niin
aicmlh	toisen
dh	ja
eifghhhlh	kolmannen
ehamlfflh	katsellen
mcfgii	silmää
lijifaaigiaai	räpäyttämättä
eiei	koko
hdhh	ajan
aibailch	tohtoria
iccmh	Liisa
ahleehmc	tarkkasi
eiei	koko
hdhh	ajan
aibailch	tohtoria
diheh	jonka
ehmcicmmh	kasvoissa
ifc	oli
ahjhbabhba	tapahtunut
ieeci	äkkiä
dfleei	jyrkkä
gbbaim	muutos
bih	hän
ifc	oli
ehfjlh	kalpea
dh	ja
bbbflhmh	huulensa
chjcmccha	vapisivat
mbihlhclaicmlmac	suonenvetoisesti
chhghaihhh	Saamatonna
gbaah	mutta
mhghffh	samalla
ebcalhech	kuitenkin
ceicjcklh	ikävöiden
idlhmc	ojensi
bih	hän
eialhmi	kätensä
afaaji	tyttöä
eibac	kohti
dbi	Tuo
jclhc	pieni
dhfeh	jalka
iaac	otti
cclfi	vielä
fbklh	yhden
hmelfllh	askeleen
lallhjich	eteenpäin
mcaal	sitte
blcaaifmc	heittäysi
bih	hän
ieeci	äkkiä
ikiaahghaah	odottamatta
lficmhh	eloisan
fbihallhmh	luonteensa
figjcgimmi	lämpimässä
chhimmh	innossa
aibailch	tohtorin
eimcchlllffl	käsivarrelle
dh	ja
eiaec	kätki
mbficmlh	suloisen
jiihmi	päänsä
bihlh	hänen
flclii	leveää
lchahhhmh	rintaansa
chmalh	vasten
iccmh	Liisa
ehamlfc	katseli
aiai	tätä
ehbhcm	kaunis
effhlflbalci	kyynelehtevä
bfgf	hymy
bbbfcffhhh	huulillaan
bih	hän
ifc	oli
mclfbhmh	sielunsa
jibdhmah	pohjasta
eccaiffchlh	kiitollinen
laai	että
mhbfh	Paula
chjhhlbaicmlmac	vapaaehtoisesti
mbimabbabc	suostuutui
cmiihmi	isäänsä
cccai	Siitä
cic	voi
cmi	isä
hibki	nähdä
laalc	ettei
fhmah	lasta
ifab	oltu
ccllicalaab	vieroitettu
bihlmai	hänestä
dh	ja
laalc	ettei
ickch	äidin
mfkigglmmi	sydämmessä
hmbhba	asunut
cibchaieiih	vähintäkään
ehaellbbaah	katkeruutta
jffgifiih	Myymälään
abfcdha	tulijat
ebambccha	kutsuivat
iccmhh	Liisan
diffllh	jälleen
aiklffcmbballh	todellisuuteen
gh	Ja
ebh	kun
bih	hän
jhfhmc	palasi
ahehcmch	takaisin
cmabc	istui
mhbfh	Paula
aibailch	tohtorin
jifclffh	polvella
aibailc	tohtori
ifc	oli
lccmbhba	riisunut
bbhhbh	hunnun
bihlh	hänen
jiimaiih	päästään
dh	ja
bfcicfc	hyväili
hfa	nyt
cbhmabhllhh	ihastuneena
bihlh	hänen
bcbemchhh	hiuksiaan
gh	Ja
abiffh	tuolla
jclhlffi	pienellä
eclmceehmbbffh	kirsikkasuulla
ifc	oli
abbhhmch	tuhansia
hmcicah	asioita
ellliaahchhh	kerrottavana
bcej	Eikö
mchbh	sinua
bhfbaahcmc	haluttaisi
mfjki	syödä
jicciffcmai	päivällistä
glckih	meidän
ehhmmhggl	kanssamme
difflc	jollei
hcgcaaich	nimittäin
gceiih	mikään
fbjhbm	lupaus
chhkc	vaadi
mchbh	sinua
gbbhffl	muualle
efmfc	kysyi
iccmh	Liisa
fmaiciffcmlmac	ystävällisesti
kifaac	Näytti
laai	että
aibailch	tohtorin
ifc	oli
chcelh	vaikea
lliah	erota
mhbfhmah	Paulasta
mcemc	siksi
iaacech	ottikin
bih	hän
eccaiffcmbbklffh	kiitollisuudella
ebambh	kutsun
chmahhh	vastaan
kallchh	Aterian
difellh	jälkeen
ellaic	kertoi
mhbfh	Paula
fhjmlffcmlffh	lapsellisella
cchaaigbbklffhhh	viattomuudellaan
laai	että
bihlffl	hänelle
hhhlaacch	annettiin
gbmcceecabhaldh	musiikkitunteja
iccmh	Liisa
aifklhmc	täydensi
bbacmlh	uutisen
ellailh	kertoen
afajh	tytön
cbglalfaicimai	ihmeteltävästä
ahcjbgbemlmah	taipumuksesta
gbmcceecch	musiikkiin
dieh	joka
mhhaaic	saattoi
gbbahghh	muutaman
blckih	heidän
bfcih	hyvän
abaahchhmh	tuttavansa
jbiflemc	puoleksi
flcecffiih	leikillään
lbjlhghhh	rupeamaan
ijlaahghhh	opettamaan
bihlffl	hänelle
lhmc	ensi
hfelcah	alkeita
dibailc	Tohtori
hibmc	nousi
fibaliemllh	lähteäkseen
mcffich	silloin
lbkiaac	ehdotti
iccmh	Liisa
laai	että
bih	hän
dh	ja
mhbfh	Paula
fibacmccia	lähtisivät
femcmmi	yksissä
eiclflgiih	kävelemään
mhbfh	Paula
ifc	oli
hcchh	aivan
cbhmabhba	ihastunut
hfa	nyt
mhcmc	saisi
bihech	hänkin
fibali	lähteä
eiclffffl	kävelylle
cmihmi	isänsä
ehhmmh	kanssa
dibailc	Tohtori
hifaac	näytti
biggimafhllfai	hämmästyneeltä
dh	ja
affafcicmlfai	tyytyväiseltä
cchi	Sinä
abfla	tulet
chlghhh	varmaan
bbiglhhh	huomenna
ahhmlh	taasen
glcai	meitä
ehamighhh	katsomaan
abbgc	tuumi
iccmh	Liisa
hbaahlmmhhh	auttaessaan
jiifffmcccaahh	päällysviittaa
mhbfhh	Paulan
fffl	ylle
bhji	Enpä
aclki	tiedä
icelch	oikein
gchi	minä
hdhaalfch	ajattelin
ghaebmahh	matkustaa
gbaah	mutta
jhaebmahh	Matkustaa
jicm	pois
di	jo
bbiglhhh	huomenna
ic	oi
mcai	sitä
mchi	sinä
la	et
mhh	saa
albki	tehdä
cmi	isä
bbbmc	huusi
mhbfh	Paula
lccjjblh	riippuen
ecchhc	kiinni
bihlh	hänen
eimcchlllmmhhh	käsivarressaan
cchbh	Sinun
aifaff	täytyy
abffh	tulla
gchbh	minun
ehhmmhhc	kanssani
fbcmalfblhkhffl	luisteluradalle
icac	äiti
lc	ei
fhmel	laske
gchbh	minua
mchhl	sinne
femch	yksin
lcei	eikä
bihlffi	hänellä
camlffiih	itsellään
ifl	ole
hcehh	aikaa
abffh	tulla
gbehhh	mukaan
gbbffich	muulloin
ebch	kuin
mbhhbhahcmch	sunnuntaisin
fggilliabih	ymmärräthän
dh	ja
lc	ei
cmi	isä
mchi	sinä
la	et
mhh	saa
ghaebmahh	matkustaa
bbiglhhh	huomenna
jicm	pois
mhbfh	Paula
ih	on
jclhc	pieni
aheechchlh	takkiainen
mhhic	sanoi
iccmh	Liisa
